league,team,season,avg_possession_rate,avg_progressive_passes,position
Ligue 1,Nice,2023-2024,52.38,37.29,5
Ligue 1,Paris Saint-Germain,2023-2024,65.21,56.71,1
Ligue 1,Reims,2023-2024,50.41,42.68,9
Ligue 1,Rennes,2023-2024,52.15,49.06,10
Ligue 1,Strasbourg,2023-2024,44.32,34.97,13
Ligue 1,Toulouse,2023-2024,48.35,43.79,11
Premier League,Arsenal,2017-2018,61.45,62.53,6
Premier League,Bournemouth,2017-2018,48.11,40.84,12
Premier League,Brighton & Hove Albion,2017-2018,43.66,32.37,15
Premier League,Burnley,2017-2018,43.74,29.03,7
Premier League,Chelsea,2017-2018,55.63,57.58,5
Premier League,Crystal Palace,2017-2018,45.24,34.84,11
Premier League,Everton,2017-2018,45.53,31.71,8
Premier League,Huddersfield Town,2017-2018,45.68,32.13,16
Premier League,Leicester City,2017-2018,47.97,33.47,9
Premier League,Liverpool,2017-2018,60.26,59.18,4
Premier League,Manchester City,2017-2018,70.97,67.74,1
Premier League,Manchester United,2017-2018,54.71,41.68,2
Premier League,Newcastle United,2017-2018,41.71,30.5,10
Premier League,Southampton,2017-2018,51.34,43.47,17
Premier League,Stoke City,2017-2018,41.42,31.84,19
Premier League,Swansea City,2017-2018,45.32,32.13,18
Premier League,Tottenham Hotspur,2017-2018,61.79,62.03,3
Premier League,Watford,2017-2018,49.68,40.11,14
Premier League,West Bromwich Albion,2017-2018,40.66,30.0,20
Premier League,West Ham United,2017-2018,45.18,34.47,13
Premier League,Arsenal,2018-2019,58.13,51.05,5
Premier League,Bournemouth,2018-2019,46.92,38.45,14
Premier League,Brighton & Hove Albion,2018-2019,42.45,30.26,17
Premier League,Burnley,2018-2019,41.24,27.16,15
Premier League,Cardiff City,2018-2019,35.39,24.39,18
Premier League,Chelsea,2018-2019,62.95,56.71,3
Premier League,Crystal Palace,2018-2019,45.21,38.37,12
Premier League,Everton,2018-2019,51.5,42.03,8
Premier League,Fulham,2018-2019,48.76,39.13,19
Premier League,Huddersfield Town,2018-2019,47.18,34.16,20
Premier League,Leicester City,2018-2019,50.92,40.82,9
Premier League,Liverpool,2018-2019,61.84,52.84,2
Premier League,Manchester City,2018-2019,67.92,63.92,1
Premier League,Manchester United,2018-2019,54.68,45.03,6
Premier League,Newcastle United,2018-2019,40.45,26.24,13
Premier League,Southampton,2018-2019,43.39,37.21,16
Premier League,Tottenham Hotspur,2018-2019,58.97,47.21,4
Premier League,Watford,2018-2019,46.68,34.37,11
Premier League,West Ham United,2018-2019,48.55,38.89,10
Premier League,Wolverhampton Wanderers,2018-2019,46.84,40.47,7
Premier League,Arsenal,2019-2020,53.76,43.5,8
Premier League,Aston Villa,2019-2020,44.11,33.08,17
Premier League,Bournemouth,2019-2020,44.11,33.47,18
Premier League,Brighton & Hove Albion,2019-2020,52.18,44.87,15
Premier League,Burnley,2019-2020,41.92,23.42,10
Premier League,Chelsea,2019-2020,60.42,51.26,4
Premier League,Crystal Palace,2019-2020,44.82,32.18,14
Premier League,Everton,2019-2020,49.03,37.95,12
Premier League,Leicester City,2019-2020,57.05,43.08,5
Premier League,Liverpool,2019-2020,62.89,51.08,1
Premier League,Manchester City,2019-2020,66.24,65.18,2
Premier League,Manchester United,2019-2020,55.82,47.45,3
Premier League,Newcastle United,2019-2020,38.97,23.55,13
Premier League,Norwich City,2019-2020,49.29,30.84,20
Premier League,Sheffield United,2019-2020,43.13,43.0,9
Premier League,Southampton,2019-2020,48.89,36.0,11
Premier League,Tottenham Hotspur,2019-2020,52.0,37.34,6
Premier League,Watford,2019-2020,42.95,31.0,19
Premier League,West Ham United,2019-2020,44.13,36.32,16
Premier League,Wolverhampton Wanderers,2019-2020,48.34,38.08,7
Premier League,Arsenal,2020-2021,53.5,46.39,8
Premier League,Aston Villa,2020-2021,48.47,37.37,11
Premier League,Brighton & Hove Albion,2020-2021,51.08,45.21,16
Premier League,Burnley,2020-2021,42.08,26.63,17
Premier League,Chelsea,2020-2021,60.89,51.29,4
Premier League,Crystal Palace,2020-2021,40.58,29.79,14
Premier League,Everton,2020-2021,46.45,31.45,10
Premier League,Fulham,2020-2021,49.66,37.18,18
Premier League,Leeds United,2020-2021,57.29,43.13,9
Premier League,Leicester City,2020-2021,54.29,41.11,5
Premier League,Liverpool,2020-2021,62.05,54.13,3
Premier League,Manchester City,2020-2021,63.5,54.16,1
Premier League,Manchester United,2020-2021,55.71,48.21,2
Premier League,Newcastle United,2020-2021,38.79,23.79,12
Premier League,Sheffield United,2020-2021,41.66,36.08,20
Premier League,Southampton,2020-2021,51.97,31.5,15
Premier League,Tottenham Hotspur,2020-2021,51.55,35.13,7
Premier League,West Bromwich Albion,2020-2021,37.95,27.71,19
Premier League,West Ham United,2020-2021,43.21,35.03,6
Premier League,Wolverhampton Wanderers,2020-2021,49.34,36.26,13
Premier League,Arsenal,2021-2022,52.76,43.58,5
Premier League,Aston Villa,2021-2022,46.47,34.79,14
